vendor,model,condition,accuracy,f1_macro,n_total,n_valid,n_invalid,n_error,pct_valid
openai,gpt-5.2-2025-12-11,baseline,0.964,0.9630049819957579,250,250,0,0,100.0
gemini,gemini-3-flash-preview,baseline,0.9637096774193549,0.9627894570128204,250,248,2,0,99.2
anthropic,claude-opus-4-5-20251101,baseline,0.972,0.9713015956312829,250,250,0,0,100.0
openai,gpt-5.2-2025-12-11,title_only,0.824,0.8210683844101763,250,250,0,0,100.0
gemini,gemini-3-flash-preview,title_only,0.8790322580645161,0.8764283816104173,250,248,2,0,99.2
anthropic,claude-opus-4-5-20251101,title_only,0.788,0.7837617299061608,250,250,0,0,100.0
openai,gpt-5.2-2025-12-11,doi_only,0.672,0.6559479054779807,250,250,0,0,100.0
gemini,gemini-3-flash-preview,doi_only,0.6337448559670782,0.6337200440342112,250,243,7,0,97.2
anthropic,claude-opus-4-5-20251101,doi_only,0.6305220883534136,0.626759645464025,250,249,1,0,99.6
openai,gpt-5.2-2025-12-11,counterfactual,0.9919354838709677,0.9917200854700855,250,248,0,2,99.2
gemini,gemini-3-flash-preview,counterfactual,0.9795081967213115,0.9788513876609981,250,244,3,3,97.6
anthropic,claude-opus-4-5-20251101,counterfactual,0.9637096774193549,0.9623577030103718,250,248,0,2,99.2
openai,gpt-5.2-2025-12-11,counterfactual_with_doi,0.988,0.9876683273319193,250,250,0,0,100.0
gemini,gemini-3-flash-preview,counterfactual_with_doi,0.9672131147540983,0.9660048763497039,250,244,5,1,97.6
anthropic,claude-opus-4-5-20251101,counterfactual_with_doi,0.9475806451612904,0.9452659457073493,250,248,2,0,99.2
